env_steps,grad_steps,eval_return,eval_std,train_return,episodes,wall_time
1000,1,9.4,0.48989794855663565,20.3,47,0.28229236602783203
2000,1001,9.2,0.7483314773547882,23.0,93,37.18852233886719
3000,2001,74.2,6.8527366796047255,31.0,128,68.27744197845459
4000,3001,118.2,6.04648658313239,31.0,154,115.52763223648071
5000,4001,182.4,31.058654188486663,42.6,179,147.91897773742676
6000,5001,80.6,2.4979991993593593,54.4,197,180.25803565979004
7000,6001,99.0,12.181953866272849,71.5,211,210.665301322937
8000,7001,89.0,13.130118049735882,60.7,226,243.75227785110474
9000,8001,86.6,7.605261336732618,64.1,240,276.71110796928406
10000,9001,106.6,0.4898979485566356,91.1,251,313.32319021224976
11000,10001,104.0,4.2895221179054435,108.5,260,350.3496513366699
12000,11001,97.4,3.555277766926235,106.9,270,388.2099437713623
13000,12001,102.8,1.5999999999999999,110.9,278,462.87735867500305
14000,13001,95.8,2.1354156504062622,126.4,286,496.9091548919678
15000,14001,253.0,2.6832815729997477,108.8,296,596.2356476783752
16000,15001,97.8,3.8678159211627436,134.9,303,776.9521822929382
17000,16001,149.8,23.21551205552012,125.8,310,968.1338758468628
18000,17001,118.2,8.749857141690942,158.4,317,1136.5713949203491
19000,18001,99.6,1.7435595774162693,133.6,325,1281.4057738780975
20000,19001,100.2,2.4819347291981715,125.6,333,1420.55060172081
